Store ID,Product ID,Inventory Level,Units Sold,Units Ordered,Price,Discount,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Seasonality_enc,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_East,Region_North,Region_South,Region_West,Weather Condition_Cloudy,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Year,Month,DayOfWeek,Quarter,IsWeekend,Revenue,Stock_Ratio,Price_vs_Comp,Order_Fill_Rate,Lag_1,Lag_7,Rolling_7
1,1,195,102,252.0,72.72,5,0,85.73,Winter,0,115,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2022,1,5,1,1,7046.567999999999,1.8932038834951457,-13.010000000000005,0.40476190476190477,100.0,100.0,100.0
2,1,102,102,302.5,90.89,0,0,81.87,Winter,0,118,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2022,1,5,1,1,9270.78,0.9902912621359223,9.019999999999996,0.3371900826446281,115.0,100.0,100.0
3,1,182,109,193.0,16.85,10,0,15.48,Winter,0,112,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2022,1,5,1,1,1652.9850000000001,1.6545454545454545,1.370000000000001,0.5647668393782384,118.0,100.0,100.0
4,1,215,85,287.0,10.47,0,0,11.51,Winter,0,81,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2022,1,5,1,1,889.95,2.5,-1.0399999999999991,0.2961672473867596,112.0,100.0,100.0
5,1,182,75,198.0,11.46,5,0,9.92,Winter,0,84,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2022,1,5,1,1,816.5250000000001,2.3947368421052633,1.540000000000001,0.3787878787878788,81.0,100.0,100.0
1,1,93,71,0.0,65.63,5,0,73.66,Winter,0,84,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2022,1,6,1,1,4426.7435,1.2916666666666667,-8.030000000000001,0.0,84.0,100.0,100.0
2,1,0,0,302.5,86.71,10,0,85.0,Winter,0,137,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2022,1,6,1,1,0.0,0.0,1.7099999999999937,0.0,84.0,100.0,100.0
3,1,73,73,0.0,15.76,5,0,16.81,Winter,0,91,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022,1,6,1,1,1092.956,0.9864864864864865,-1.049999999999999,0.0,137.0,115.0,104.42857142857143
4,1,130,130,302.5,12.67,10,0,11.95,Winter,0,160,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2022,1,6,1,1,1482.3899999999999,0.9923664122137404,0.7200000000000006,0.4297520661157025,91.0,118.0,101.0
5,1,107,81,0.0,11.7,0,0,10.06,Winter,0,75,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2022,1,6,1,1,947.6999999999999,1.3048780487804879,1.6399999999999988,0.0,160.0,112.0,107.0
1,1,274,142,229.0,68.55,15,1,80.73,Winter,0,132,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2022,1,0,1,0,8273.985,1.916083916083916,-12.180000000000007,0.6200873362445415,75.0,81.0,101.71428571428571
2,1,0,0,0.0,84.32,20,1,92.33,Winter,0,189,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2022,1,0,1,0,0.0,0.0,-8.010000000000005,0.0,132.0,84.0,109.0
3,1,193,117,302.5,18.83,10,1,20.46,Winter,0,168,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2022,1,0,1,0,1982.7989999999998,1.6355932203389831,-1.6300000000000026,0.3867768595041322,189.0,84.0,124.0
4,1,0,0,0.0,12.83,15,1,15.38,Winter,0,207,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2022,1,0,1,0,0.0,0.0,-2.5500000000000007,0.0,168.0,137.0,136.0
5,1,224,98,190.0,10.87,15,1,11.79,Winter,0,117,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2022,1,0,1,0,905.471,2.2626262626262625,-0.9199999999999999,0.5157894736842106,207.0,91.0,146.0
1,1,132,42,0.0,61.66,10,0,54.88,Winter,0,67,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2022,1,1,1,0,2330.748,3.0697674418604652,6.779999999999994,0.0,117.0,160.0,149.71428571428572
2,1,331,172,0.0,103.11,0,0,123.5,Winter,0,180,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2022,1,1,1,0,17734.92,1.9132947976878614,-20.39,0.0,67.0,75.0,136.42857142857142
3,1,76,76,0.0,15.15,10,0,16.99,Winter,0,95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2022,1,1,1,0,1036.2600000000002,0.987012987012987,-1.839999999999998,0.0,180.0,132.0,151.42857142857142
4,1,0,0,0.0,10.55,0,0,11.27,Winter,0,83,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2022,1,1,1,0,0.0,0.0,-0.7199999999999989,0.0,95.0,189.0,146.14285714285714
5,1,126,58,0.0,12.03,0,0,11.04,Winter,0,83,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2022,1,1,1,0,697.74,2.135593220338983,0.9900000000000002,0.0,83.0,168.0,131.0
1,1,319,129,0.0,59.56,25,1,57.34,Winter,0,110,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2022,1,2,1,0,5762.43,2.453846153846154,2.219999999999999,0.0,83.0,207.0,118.85714285714286
2,1,509,132,302.5,80.86,20,1,69.75,Winter,0,154,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2022,1,2,1,0,8538.816,3.827067669172932,11.11,0.43636363636363634,110.0,117.0,105.0
3,1,316,141,302.5,18.5,20,1,18.46,Winter,0,187,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2022,1,2,1,0,2086.8,2.2253521126760565,0.03999999999999915,0.46611570247933887,154.0,67.0,110.28571428571429
4,1,287,88,0.0,9.25,20,1,10.18,Winter,0,111,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2022,1,2,1,0,651.2,3.2247191011235956,-0.9299999999999997,0.0,187.0,180.0,127.42857142857143
