sku,nom,categorie,price,desc,currency,source,name_length,name_word_count,brand_detected,has_quantity,price_log,price_bucket,category_freq,is_premium_category
MYM-0001,olla sauce pizza tomate olla 350g,alimentation,8.9,olla sauce pizza tomate olla 350g,MAD,MyMarket,33,6,0,1,2.2925347571405443,low,0.08565928777670838,0
MYM-0002,ayala boisson à l’avoine calcium ayala 1l,alimentation,22.0,ayala boisson à l’avoine calcium ayala 1l,MAD,MyMarket,41,7,1,1,3.1354942159291497,medium,0.08565928777670838,0
MYM-0003,ayala café moulu intense ayala 250g,alimentation,39.5,ayala café moulu intense ayala 250g,MAD,MyMarket,35,6,1,1,3.7013019741124933,medium,0.08565928777670838,0
MYM-0004,ayala café moulu mélange ayala 250g,alimentation,39.5,ayala café moulu mélange ayala 250g,MAD,MyMarket,35,6,1,1,3.7013019741124933,medium,0.08565928777670838,0
MYM-0005,ayala champignons tranchés ayala 355g,alimentation,16.95,ayala champignons tranchés ayala 355g,MAD,MyMarket,37,5,1,1,2.8875901149342877,low,0.08565928777670838,0
MYM-0006,ayala boisson au soja calcium ayala 1l,alimentation,22.0,ayala boisson au soja calcium ayala 1l,MAD,MyMarket,38,7,1,1,3.1354942159291497,medium,0.08565928777670838,0
MYM-0007,ayala biscuits à la cannelle ayala 470g,alimentation,24.0,ayala biscuits à la cannelle ayala 470g,MAD,MyMarket,39,7,1,1,3.2188758248682006,medium,0.08565928777670838,0
MYM-0008,ayala pâte de coing membrillo ayala 400g,alimentation,14.89,ayala pâte de coing membrillo ayala 400g,MAD,MyMarket,40,7,1,1,2.7656899805486246,low,0.08565928777670838,0
MYM-0009,ayala petits pois réhydratés ayala 400g,alimentation,10.95,ayala petits pois réhydratés ayala 400g,MAD,MyMarket,39,6,1,1,2.4807312783775197,low,0.08565928777670838,0
MYM-0010,ayala tacos de poisson en sauce marine ayala 72g,alimentation,21.5,ayala tacos de poisson en sauce marine ayala 72g,MAD,MyMarket,48,9,1,1,3.1135153092103742,medium,0.08565928777670838,0
MYM-0011,ayala tacos de poisson à l’huile de tournesol ayala 72g,alimentation,21.5,ayala tacos de poisson à l’huile de tournesol ayala 72g,MAD,MyMarket,55,10,1,1,3.1135153092103742,medium,0.08565928777670838,0
MYM-0012,ayala tacos de poisson à l’ail ayala 72g,alimentation,21.5,ayala tacos de poisson à l’ail ayala 72g,MAD,MyMarket,40,8,1,1,3.1135153092103742,medium,0.08565928777670838,0
MYM-0013,ayala pâté de thon aux morceaux de thon ayala 2x78g,alimentation,26.5,ayala pâté de thon aux morceaux de thon ayala 2x78g,MAD,MyMarket,51,10,1,1,3.3141860046725258,medium,0.08565928777670838,0
MYM-0014,ayala petits calamars farcis à l’encre ayala 72g,alimentation,25.0,ayala petits calamars farcis à l’encre ayala 72g,MAD,MyMarket,48,8,1,1,3.258096538021482,medium,0.08565928777670838,0
MYM-0015,ayala chipirones farcis en sauce américaine ayala 72g,alimentation,25.0,ayala chipirones farcis en sauce américaine ayala 72g,MAD,MyMarket,53,8,1,1,3.258096538021482,medium,0.08565928777670838,0
MYM-0016,ayala chipirones farcis à l’huile de tournesol ayala 72g,alimentation,25.0,ayala chipirones farcis à l’huile de tournesol ayala 72g,MAD,MyMarket,56,9,1,1,3.258096538021482,medium,0.08565928777670838,0
MYM-0017,ayala pack de 3 petites boîtes calamars en sauce américaine ayala 3x55g,alimentation,28.55,ayala pack de 3 petites boîtes calamars en sauce américaine ayala 3x55g,MAD,MyMarket,71,12,1,1,3.386083743852107,medium,0.08565928777670838,0
MYM-0018,ayala filets de melva à l’huile de tournesol ayala 85g,alimentation,21.95,ayala filets de melva à l’huile de tournesol ayala 85g,MAD,MyMarket,54,10,1,1,3.133317936506554,medium,0.08565928777670838,0
MYM-0019,ayala filets de maquereau à la tomate ayala 85g,alimentation,17.5,ayala filets de maquereau à la tomate ayala 85g,MAD,MyMarket,47,9,1,1,2.917770732084279,low,0.08565928777670838,0
MYM-0020,ayala filets de maquereau à l’huile de tournesol ayala 85g,alimentation,17.5,ayala filets de maquereau à l’huile de tournesol ayala 85g,MAD,MyMarket,58,10,1,1,2.917770732084279,low,0.08565928777670838,0
MYM-0021,ayala maïs sucré doux extra ayala 340g,alimentation,13.1,ayala maïs sucré doux extra ayala 340g,MAD,MyMarket,38,7,1,1,2.6461747973841225,low,0.08565928777670838,0
MYM-0022,ayala confiture de fraise extra ayala 410g,alimentation,22.69,ayala confiture de fraise extra ayala 410g,MAD,MyMarket,42,7,1,1,3.165053018170694,medium,0.08565928777670838,0
MYM-0023,ayala pâtes spirales végétales ayala 500g,alimentation,18.95,ayala pâtes spirales végétales ayala 500g,MAD,MyMarket,41,6,1,1,2.9932291433358724,low,0.08565928777670838,0
MYM-0024,ayala pâtes estrellitas ayala 500g,alimentation,15.95,ayala pâtes estrellitas ayala 500g,MAD,MyMarket,34,5,1,1,2.830267833826459,low,0.08565928777670838,0
MYM-0001,ayala spaghetti ayala 500g,alimentation,14.5,ayala spaghetti ayala 500g,MAD,MyMarket,26,4,1,1,2.740840023925201,low,0.08565928777670838,0
MYM-0002,4 épais ayala 500g,alimentation,15.95,4 épais ayala 500g,MAD,MyMarket,18,4,1,1,2.830267833826459,low,0.08565928777670838,0
MYM-0003,sidi ali pack eau minérale bouteille orange pour enfants sidi ali 33cl - 6 unités,alimentation,12.0,sidi ali pack eau minérale bouteille orange pour enfants sidi ali 33cl - 6 unités,MAD,MyMarket,81,15,1,1,2.5649493574615367,low,0.08565928777670838,0
MYM-0004,sidi ali pack eau minérale bouteille rose pour enfants sidi ali 33cl - 6 unités,alimentation,12.0,sidi ali pack eau minérale bouteille rose pour enfants sidi ali 33cl - 6 unités,MAD,MyMarket,79,15,1,1,2.5649493574615367,low,0.08565928777670838,0
MYM-0005,sidi ali pack eau minérale bouteille vert pour enfants sidi ali 33cl - 6 unités,alimentation,12.0,sidi ali pack eau minérale bouteille vert pour enfants sidi ali 33cl - 6 unités,MAD,MyMarket,79,15,1,1,2.5649493574615367,low,0.08565928777670838,0
MYM-0006,desly feuilles nori pour sushi 100 unités desly,alimentation,259.0,desly feuilles nori pour sushi 100 unités desly,MAD,MyMarket,47,8,0,0,5.560681631015528,high,0.08565928777670838,0
MYM-0007,schär galettes souples wraps sans gluten schär 160g,alimentation,69.9,schär galettes souples wraps sans gluten schär 160g,MAD,MyMarket,51,8,0,1,4.2612704335380815,high,0.08565928777670838,0
MYM-0008,schär biscuits salés croustillants crackers multicéréales sans gluten schär 210g,alimentation,58.9,schär biscuits salés croustillants crackers multicéréales sans gluten schär 210g,MAD,MyMarket,80,10,0,1,4.092676505121403,medium,0.08565928777670838,0
MYM-0009,sebaa thé vert en grains lion 4011 ata sebaa 500g,alimentation,61.95,sebaa thé vert en grains lion 4011 ata sebaa 500g,MAD,MyMarket,49,10,0,1,4.142340760490356,high,0.08565928777670838,0
MYM-0010,sebaa thé vert de chine lion 4011 atay sebaa 100g,alimentation,11.7,sebaa thé vert de chine lion 4011 atay sebaa 100g,MAD,MyMarket,49,10,0,1,2.5416019934645457,low,0.08565928777670838,0
MYM-0011,chakour thé vert de chine extra-fin chakour 100g,alimentation,11.5,chakour thé vert de chine extra-fin chakour 100g,MAD,MyMarket,48,8,0,1,2.5257286443082556,low,0.08565928777670838,0
MYM-0012,chakour thé vert de chine extra fin gunpowder chakour 500g,alimentation,54.0,chakour thé vert de chine extra fin gunpowder chakour 500g,MAD,MyMarket,58,10,0,1,4.007333185232471,medium,0.08565928777670838,0
MYM-0013,schär biscuits salés crackers sans gluten schär 210g,alimentation,49.95,schär biscuits salés crackers sans gluten schär 210g,MAD,MyMarket,52,8,0,1,3.9308447596687337,medium,0.08565928777670838,0
MYM-0014,schär chips soufflée curvies paprika sans gluten schär 170g,alimentation,44.9,schär chips soufflée curvies paprika sans gluten schär 170g,MAD,MyMarket,59,9,0,1,3.8264651170664994,medium,0.08565928777670838,0
MYM-0015,schär curvies barbecue sans gluten schär 170g,alimentation,44.9,schär curvies barbecue sans gluten schär 170g,MAD,MyMarket,45,7,0,1,3.8264651170664994,medium,0.08565928777670838,0
MYM-0016,bjorg galettes de riz quinoa sans gluten bjorg 130g,alimentation,39.95,bjorg galettes de riz quinoa sans gluten bjorg 130g,MAD,MyMarket,51,9,0,1,3.7123518102990785,medium,0.08565928777670838,0
