nom,prix,prix_original,categorie,marque,promotion,disponibilite,image_url,store_name
BAGUETTE A L’ANCIENNE AU PAVOT 250G,5.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1238605-300x300.jpg,aswak_assalam
BAGUETTE A L’ANCIENNE AU SESAME 250G,5.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1238606-300x300.jpg,aswak_assalam
BAGUETTE A L’ANCIENNE NATURE 250G,3.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1238607-300x300.jpg,aswak_assalam
BAGUETTE A LA SEMOULE DE BLE DURE 200G,2.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/0909789-300x300.jpg,aswak_assalam
BAGUETTE AUX CEREALES 250G,9.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1238644-300x300.jpg,aswak_assalam
BRIOCHE AUX PEPITES DE CHOCOLAT AU LAIT 6 UNITES WEIKIS BIMBO,31.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1325558-300x300.jpg,aswak_assalam
BROWNIE CHOCOLAT 248G KEKITO BIMBO,21.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1325576-300x300.jpg,aswak_assalam
BURGER 6 UNITES 330G JACQUET,35.9,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1361006-300x300.jpg,aswak_assalam
CHAPELURE 250G BIMBO,7.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1402655-300x300.jpg,aswak_assalam
CHAPELURE PANKO 200G JESSY’S,25.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1170744-300x300.jpg,aswak_assalam
FEUILLES DE PASTILLA 30CM 10 UNITES 200G GOLDY,18.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1292573-300x300.jpg,aswak_assalam
FEUILLES DE PASTILLA 30CM 10 UNITES BELPATE,16.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/37469-300x300.jpg,aswak_assalam
FEUILLES DE PASTILLA 40CM 10 UNITES BELPATE,22.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/37470-300x300.jpg,aswak_assalam
FONDS DE TARTE SALES 8 UNITES CHEF DU PAIN,16.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1407674-300x300.jpg,aswak_assalam
FONDS DE TARTE SUCRES 12 UNITES PATISSERIE LA NOBLESSE,19.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/0938721-300x300.jpg,aswak_assalam
FONDS DE TARTE SUCRES 8 UNITES CHEF DU PAIN,17.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1407673-300x300.jpg,aswak_assalam
LOT DE 10 KRACHELLES BELDI,13.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1409493-300x300.jpg,aswak_assalam
LOT DE 5 MINI GALETTES AU BLE TENDRE & SESAME,7.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/0912548-300x300.jpg,aswak_assalam
MADELEINES PURE BEURRE 192G BIMBO,16.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1325577-300x300.jpg,aswak_assalam
MINI BURGER 8 UNITES ASSYLOR,10.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1443286-300x300.jpg,aswak_assalam
MINI PATE A PIZZA COMPLETE 12 UNITES 160G ASSYLOR,10.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1443285-300x300.jpg,aswak_assalam
MINI WRAPS DE FARINE DE BLE 10 UNITES 250G DELI SUN,21.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1328242-300x300.jpg,aswak_assalam
PAIN AU LAIT 4 UNITES OLE ASSYLOR,11.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/0904749-300x300.jpg,aswak_assalam
PAIN AU LAIT AUX PEPITES DE CHOCOLAT 5 UNITES OLE ASSYLOR,14.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1305393-300x300.jpg,aswak_assalam
PAIN BLANC SANS GLUTEN 250G SCHAR,37.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1287653-300x300.jpg,aswak_assalam
PAIN BURGER AU SESAME 4 UNITES BIMBO,13.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1325560-300x300.jpg,aswak_assalam
PAIN BURGER GEANT 4 UNITES 310G ASSYLOR,12.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/0904741-300x300.jpg,aswak_assalam
PAIN BURGER GEANT COMPLET 4 UNITES ASSYLOR,12.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1408754-300x300.jpg,aswak_assalam
PAIN CHAWARMA NATURE 7 UNITES 273G CHEF DU PAIN,7.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1355133-300x300.jpg,aswak_assalam
PAIN CIABATTA A L’HUILE D’OLIVE 4 UNITES ASSYLOR,11.5,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1455291-300x300.jpg,aswak_assalam
PAIN DE MIE AUX CEREALES 600G,19.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1275874-300x300.jpg,aswak_assalam
PAIN DE MIE BLANC 500G,11.95,,Boulangerie,,False,En stock,https://aswakassalam.com/wp-content/uploads/2026/04/1039349-300x300.jpg,aswak_assalam
