nom,prix,categorie,store_name,prix_original,remise_pct,unite,marque,promotion,disponible,url,scraped_at
& Sécurité Courses En Ligne Marché Fruits & Légumes Boucherie & Volaille Stand Fromage & Charcuterie,466.0,Marche,marjane,,,,,False,True,,2026-04-23T23:56:58.623634
e Prix croissant Prix décroissant Tri par défaut style Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,,1Kg,,False,True,,2026-04-23T23:56:58.623634
59DH Filet de dinde fumé en tranches 100g - DINDY,11.5,Marche,marjane,,,100g,,False,True,,2026-04-23T23:56:58.623634
Menthe en sachet - FILIERE M,3.9,Marche,marjane,,,,Menthe,False,True,,2026-04-23T23:56:58.623634
39DH Oignon blanc 1Kg - FILIERE M,12.9,Marche,marjane,,,1Kg,,False,True,,2026-04-23T23:56:58.623634
29DH Tomate cerise allongée 250g - FILIERE M,9.9,Marche,marjane,,,250g,,False,True,,2026-04-23T23:56:58.623634
99DH Tomate ronde 1Kg - FILIERE M,9.9,Marche,marjane,,,1Kg,,False,True,,2026-04-23T23:56:58.623634
99DH Persil en sachet - FILIERE M,3.9,Marche,marjane,,,,,False,True,,2026-04-23T23:56:58.623634
39DH Céleri en sachet de 110g - FILIERE M,4.5,Marche,marjane,,,110g,,False,True,,2026-04-23T23:56:58.623634
45DH Banane 1Kg,19.9,Marche,marjane,,,1Kg,,False,True,,2026-04-23T23:56:58.623634
Coriandre en sachet - FILIERE M,3.9,Marche,marjane,,,,Coriandre,False,True,,2026-04-23T23:56:58.623634
