nom,prix,categorie,store_name,prix_original,unite,promotion
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Filet de dinde fumé en tranches 100g - DINDY,11.5,Marche,marjane,,L,False
Menthe en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Oignon blanc 1Kg - FILIERE M,12.9,Marche,marjane,,kg,False
Tomate cerise allongée 250g - FILIERE M,9.9,Marche,marjane,,L,False
Tomate ronde 1Kg - FILIERE M,9.9,Marche,marjane,,kg,False
Persil en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Céleri en sachet de 110g - FILIERE M,4.5,Marche,marjane,,L,False
Banane 1Kg,19.9,Marche,marjane,,kg,False
Coriandre en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Deux steacks hachés de boeuf maigre 250g,29.9,Marche,marjane,,g,False
Jambon de dinde fumé en tranches 100g - DINDY,9.85,Marche,marjane,,g,False
Laitue frisée à la pièce - FILIERE M,9.9,Marche,marjane,,L,False
Laitue romaine à la pièce -FILIERE M,9.9,Marche,marjane,,L,False
"Laitue verte, la pièce - FILIERE M",9.9,Marche,marjane,,L,False
Patate douce 1Kg,10.9,Marche,marjane,,kg,False
Pomme de terre blanche lavée 1Kg - FILIERE M,10.5,Marche,marjane,,kg,False
Pomme de terre blanche non lavée 1Kg - FILIERE M,9.5,Marche,marjane,,kg,False
Pomme de terre lavée 1Kg - FILIERE M,10.9,Marche,marjane,,kg,False
Pomme de terre rouge non lavée 1Kg - FILIERE M,9.5,Marche,marjane,,kg,False
Tomate cerise ronde 250g - FILIERE M,7.9,Marche,marjane,,L,False
Laitue batavia verte à la pièce - FILIERE M,9.9,Marche,marjane,,L,False
Pepperoni 100g,9.9,Marche,marjane,,g,False
Salami de dinde 100g - DINDY,9.9,Marche,marjane,,L,False
Blanc de dinde light 100g - DEL PACHA,13.5,Marche,marjane,,L,False
Cornet de Poulet 100g,13.0,Marche,marjane,,L,False
Cuisse de dinde 100g - DEL PACHA,14.85,Marche,marjane,,L,False
Duo bœuf / poulet 100g,16.5,Marche,marjane,,L,False
Filet de dinde 100g - DEL PACHA,14.95,Marche,marjane,,L,False
Filet de dinde mavi 100g,10.0,Marche,marjane,,L,False
Jambon cuit fumé 100g,10.75,Marche,marjane,,g,False
Jambon cuit supérieur 100g - DINDY,11.5,Marche,marjane,,g,False
Jambon de bœuf suprême 100g,19.5,Marche,marjane,,g,False
Jambon de dinde aux fines herbes 100g,13.0,Marche,marjane,,g,False
Jambon de dinde paprika 100g - DEL PACHA,13.0,Marche,marjane,,L,False
Jambon duo fumé 100g - DINDY,15.95,Marche,marjane,,g,False
Laitue feuille de chêne rouge à la pièce - FILIERE M,9.9,Marche,marjane,,L,False
"Laitue feuille de chêne verte, la pièce - FILIERE M",9.9,Marche,marjane,,L,False
Marbré de poulet 100g,13.5,Marche,marjane,,L,False
Pepperoni 100g - DEL PACHA,16.5,Marche,marjane,,L,False
Suprême de dinde paprika 100g,12.0,Marche,marjane,,g,False
Suprême Filet Herbes 100g - DINDY,13.0,Marche,marjane,,L,False
"Laitue iceberg, la pièce - FILIERE M",8.9,Marche,marjane,,L,False
