nom,prix,categorie,store_name,prix_original,unite,promotion
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Concombre court 1Kg - FILIERE M,6.9,Marche,marjane,,kg,False
Filet de dinde fumé en tranches 100g - DINDY,11.5,Marche,marjane,,L,False
Menthe en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Oignon blanc 1Kg - FILIERE M,12.9,Marche,marjane,,kg,False
Tomate cerise allongée 250g - FILIERE M,9.9,Marche,marjane,,L,False
Tomate ronde 1Kg - FILIERE M,9.9,Marche,marjane,,kg,False
Persil en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Céleri en sachet de 110g - FILIERE M,4.5,Marche,marjane,,L,False
Banane 1Kg,19.9,Marche,marjane,,kg,False
Coriandre en sachet - FILIERE M,3.9,Marche,marjane,,L,False
Boisson lait d'amande intense bio 1L - BJORG,74.0,Produits_laitiers,marjane,,L,False
Boisson lait d'amande intense bio 1L - BJORG,74.0,Produits_laitiers,marjane,,L,False
Boisson lait d'amande intense bio 1L - BJORG,74.0,Produits_laitiers,marjane,,L,False
Boisson végétale à l'amande bio sans sucres ajoutés 1L - BJORG,64.95,Produits_laitiers,marjane,,L,False
Boisson végétale à l'amande calcium bio 1L - BJORG,67.95,Produits_laitiers,marjane,,L,False
Boisson végétale avoine calcium bio 1L - BJORG,59.5,Produits_laitiers,marjane,,L,False
Fromage Edam boule environ 900g - KROON,142.95,Produits_laitiers,marjane,,L,False
"Œufs frais gros calibre x 30 environ 1,850 Kg - MATINALES",41.25,Produits_laitiers,marjane,,kg,False
Lait entier naturel stérilisé UHT 6x1L - JAOUDA,65.7,Produits_laitiers,marjane,,L,False
Œufs frais jaune orangé x30 - MAZRAAT AL ASSIL,45.25,Produits_laitiers,marjane,,L,False
Beurre doux pasteurisé en plaquette 200g - JAOUDA,19.95,Produits_laitiers,marjane,,L,False
Lait stérilisé UHT entier 6x1L - SALIM,66.0,Produits_laitiers,marjane,,L,False
Lipton Ice Tea fruits rouges 25cl,3.95,Eaux_boissons,marjane,,L,False
Lipton Ice Tea fruits rouges 25cl,3.95,Eaux_boissons,marjane,,L,False
Lipton Ice Tea fruits rouges 25cl,3.95,Eaux_boissons,marjane,,L,False
Lipton Ice Tea fruits rouges canette 33cl,7.0,Eaux_boissons,marjane,,L,False
Lipton Ice Tea pêche 25cl,3.95,Eaux_boissons,marjane,,L,False
Lipton Ice Tea pêche canette 33cl,7.0,Eaux_boissons,marjane,,L,False
Bahia Eau de table 5L,9.95,Eaux_boissons,marjane,,L,False
Nectar de pêche 1L - MARJANE,9.95,Eaux_boissons,marjane,,L,False
Schweppes virgin mojito 90cl,12.0,Eaux_boissons,marjane,,L,False
Intermarché - Nectar d'orange d'abricot et de pêche 2L - PAQUITO,39.95,Eaux_boissons,marjane,,L,False
Coca Cola 1L,8.0,Eaux_boissons,marjane,,L,False
Intermarché - Sirop concentré de citron vert 70cl - PAQUITO,34.95,Eaux_boissons,marjane,,L,False
Baskin Robbins bac de crème glacée chocolat 120ml,27.9,Glaces_surgeles,marjane,,L,False
Baskin Robbins bac de crème glacée chocolat 120ml,27.9,Glaces_surgeles,marjane,,L,False
Baskin Robbins bac de crème glacée chocolat 120ml,27.9,Glaces_surgeles,marjane,,L,False
Somosierra cônes de glace Magni lemon 4x120ml,29.95,Glaces_surgeles,marjane,,L,False
Baskin Robbins bac de crème glacée vanille 120ml,27.9,Glaces_surgeles,marjane,,L,False
Somosierra cônes de glace Magni chocolat 4x120ml,29.95,Glaces_surgeles,marjane,,L,False
Somosierra cônes de glace Magni nata 4x120ml,30.95,Glaces_surgeles,marjane,,L,False
Cocktail de fruit de mer 350g - FAYZ,16.95,Glaces_surgeles,marjane,,L,False
Intermarché - Adélie Bûche glacée 3 chocolats 564g,74.95,Glaces_surgeles,marjane,,L,False
Intermarché - Ananas coupé en morceaux 450g - PAQUITO,36.95,Glaces_surgeles,marjane,,g,False
Nuggets de poulet pané 300g - LES DÉLICES DE LA FERMIÈRE,35.95,Glaces_surgeles,marjane,,L,False
Intermarché - Adélie Bûche glacée aux fruits exotiques 552g,74.95,Glaces_surgeles,marjane,,L,False
