feature,importance
product_demand_rank,0.5177746
epidemic,0.10651435
is_promoted,0.076652676
potential_profit,0.05285078
category_encoded,0.047135983
promotion,0.042910397
stock_ratio,0.041957337
stock_turnover,0.029224223
days_to_expire,0.022421466
sell_through_rate,0.018737687
expiry_risk_score,0.010630106
price,0.0084763765
inventory_level,0.0064562154
region_encoded,0.0031456393
competitor_pricing,0.0029027842
low_stock,0.0019484834
weather_condition_encoded,0.0016711329
discount,0.00092960737
seasonality_encoded,0.0008282548
is_new_year,0.0007948086
day_of_year,0.0007544718
is_black_friday,0.00070940534
price_advantage,0.0006984341
margin_rate,0.00067237264
day_of_week,0.0006232175
month,0.0005654053
is_weekend,0.00048773122
is_christmas,0.00045665904
quarter,0.00038852444
is_holiday,0.00037599303
medium_stock,0.00030483014
very_high_stock,0.0
expiry_urgent,0.0
high_stock,0.0
expiry_medium,0.0
expiry_far,0.0
expiry_very_near,0.0
expiry_near,0.0
product_popularity,0.0
product_popularity_pct,0.0
